NUMBER;TRADEDATE;OPEN;LOW;HIGH;CLOSE;VALUE
48;2023-10-06;6749.5;6717.0;6797.0;6797.0;5318510792.5
49;2023-10-09;6880.0;6822.0;6895.5;6863.5;7615757279.0
50;2023-10-10;6874.0;6822.5;6880.0;6853.5;3783193246.5
51;2023-10-11;6864.5;6835.5;7099.5;6890.5;24211871421.0
52;2023-10-12;6862.5;6848.0;7154.0;7120.0;19156873466.5
53;2023-10-13;7143.0;7136.0;7250.0;7244.0;12045578400.0
54;2023-10-16;7275.0;7234.5;7349.0;7335.0;10756652843.5
55;2023-10-17;7347.5;7264.0;7394.0;7384.5;11994355450.5
56;2023-10-18;7399.0;7365.0;7535.0;7488.0;19287541900.5
57;2023-10-19;7480.0;7416.5;7495.0;7486.0;7344739430.5
58;2023-10-20;7499.5;7405.0;7509.5;7491.5;7331130887.0
59;2023-10-23;7510.5;7452.5;7549.0;7462.5;6435329390.0
60;2023-10-24;7478.0;7417.0;7487.5;7444.0;6097159788.0
61;2023-10-25;7430.0;7207.0;7444.0;7437.5;9703001231.0
62;2023-10-26;7455.0;7211.0;7498.0;7228.5;21199150043.0
63;2023-10-27;7227.0;7136.5;7338.0;7318.0;13143808612.0
64;2023-10-30;7299.5;7228.0;7315.0;7248.0;5590503605.5
65;2023-10-31;7231.0;7107.0;7264.0;7150.5;7324583067.5
66;2023-11-01;7152.0;7130.5;7266.0;7240.0;4422248663.0
67;2023-11-02;7257.5;7217.0;7292.0;7253.5;3464689242.0
68;2023-11-03;7268.0;7210.5;7278.0;7238.0;2640865560.0
69;2023-11-06;7243.0;7221.0;7387.5;7376.0;4691426773.0
70;2023-11-07;7370.0;7295.5;7380.0;7333.5;4365604413.5
71;2023-11-08;7341.0;7277.0;7373.0;7295.0;4242614703.0
72;2023-11-09;7291.0;7221.0;7307.0;7260.0;4272139882.0
73;2023-11-10;7270.0;7238.5;7304.5;7288.5;3613089648.5
74;2023-11-13;7296.0;7270.0;7325.0;7277.5;3232073953.5
75;2023-11-14;7285.0;7165.0;7285.0;7200.0;4417222693.5
76;2023-11-15;7184.0;7138.0;7257.0;7224.0;4384254064.0
77;2023-11-16;7221.5;7120.5;7236.0;7135.5;3989935421.5
78;2023-11-17;7135.5;7080.5;7234.0;7225.5;5469443818.0
79;2023-11-20;7225.5;7161.0;7226.0;7194.5;3053218347.0
80;2023-11-21;7180.5;7137.5;7216.0;7209.0;3459120952.0
81;2023-11-22;7211.0;7207.0;7299.0;7299.0;4927911800.5
82;2023-11-23;7301.0;7251.5;7330.0;7258.0;2855176400.5
83;2023-11-24;7262.0;7255.0;7320.0;7295.0;3054082635.0
84;2023-11-27;7301.0;7212.0;7345.0;7222.5;4427711087.5
85;2023-11-28;7223.0;7161.0;7245.5;7238.0;2897395247.0
86;2023-11-29;7229.0;7186.0;7238.0;7202.0;2186359454.0
87;2023-11-30;7205.5;7170.0;7285.5;7239.0;4412087952.0
88;2023-12-01;7239.0;7162.5;7272.5;7175.5;3542441636.5
89;2023-12-04;7170.0;7110.5;7199.5;7132.5;4788913271.0
90;2023-12-05;7136.0;7136.0;7250.0;7248.5;4011708213.5
91;2023-12-06;7269.0;7051.5;7275.0;7138.0;4651215848.0
92;2023-12-07;7145.0;7071.0;7173.0;7092.0;3389576439.5
93;2023-12-08;7119.0;7092.0;7173.0;7140.0;3037811215.5
94;2023-12-11;7183.0;6929.0;7189.0;6977.0;7226245836.5
95;2023-12-12;7000.0;6813.0;7100.0;7014.5;9760700890.0
96;2023-12-13;7000.0;6914.0;7062.5;7043.5;4013886916.0
97;2023-12-14;7040.0;6850.5;7084.5;6860.0;8501875338.5
98;2023-12-15;6397.0;6381.0;6632.0;6560.0;15694991256.0
99;2023-12-18;6580.0;6526.0;6761.5;6723.5;8404694444.0
100;2023-12-19;6735.0;6690.0;6771.0;6709.0;4564286692.5
101;2023-12-20;6709.5;6696.0;6849.0;6735.0;6625886529.5
102;2023-12-21;6730.0;6633.5;6774.0;6702.0;6938357522.0
103;2023-12-22;6711.0;6708.5;6795.0;6732.5;3665596022.5
104;2023-12-25;6748.0;6730.0;6784.0;6744.0;2429499408.5
105;2023-12-26;6750.0;6720.0;6771.0;6771.0;2916986787.5
106;2023-12-27;6773.0;6761.0;6840.0;6768.0;3382380613.5
107;2023-12-28;6767.5;6725.5;6802.5;6767.0;2981552710.0
108;2023-12-29;6784.0;6729.0;6784.0;6739.0;1890360872.5
109;2024-01-03;6774.0;6745.5;6805.0;6803.5;1372507245.5
110;2024-01-04;6804.5;6763.5;6811.5;6771.0;1244240299.5
111;2024-01-05;6771.5;6770.5;6794.5;6780.0;729658423.5
112;2024-01-08;6783.0;6756.0;6804.5;6766.5;1463377928.0
113;2024-01-09;6780.0;6750.5;6942.0;6931.0;5812051156.0
114;2024-01-10;6935.0;6923.0;7023.0;6957.0;4977477890.0
115;2024-01-11;6965.0;6930.5;6995.0;6972.5;2950278954.5
116;2024-01-12;7005.0;6962.0;7011.0;6965.0;2854221989.0
117;2024-01-15;6950.0;6874.0;6968.5;6889.5;3937548742.0
118;2024-01-16;6884.5;6826.0;6885.5;6857.0;3211522264.5
119;2024-01-17;6859.5;6830.0;6919.5;6910.0;2100605182.0
120;2024-01-18;6923.0;6846.0;6930.0;6857.5;1925720882.5
121;2024-01-19;6858.0;6800.5;6883.0;6834.5;2301192109.0
122;2024-01-22;6830.0;6815.5;6859.0;6840.0;1371760083.0
123;2024-01-23;6840.0;6782.0;6850.0;6799.5;2417796849.0
124;2024-01-24;6798.0;6754.0;6828.0;6795.0;3189411586.0
125;2024-01-25;6810.5;6760.5;6819.5;6809.0;2177749189.5
126;2024-01-26;6829.0;6801.0;6920.0;6901.0;4640997419.0
127;2024-01-29;6918.0;6911.0;6975.0;6943.0;4110070040.0
128;2024-01-30;6945.0;6933.0;7007.0;6994.0;4537844505.5
129;2024-01-31;7000.0;7000.0;7122.0;7090.5;6669626209.0
130;2024-02-01;7105.0;7059.0;7145.0;7093.5;4084656193.0
131;2024-02-02;7094.0;7050.0;7127.0;7114.0;4077562876.5
132;2024-02-05;7099.0;7094.0;7185.0;7137.5;3833973277.5
133;2024-02-06;7145.0;7115.0;7171.0;7163.0;2447432468.5
134;2024-02-07;7170.0;7160.5;7272.5;7265.0;5646172199.0
135;2024-02-08;7272.0;7191.0;7288.0;7231.5;4649052792.0
136;2024-02-09;7232.0;7182.5;7260.0;7238.5;2511326507.0
137;2024-02-12;7240.0;7223.0;7280.0;7280.0;2284461195.0
138;2024-02-13;7297.0;7231.0;7311.0;7269.0;3550810198.0
139;2024-02-14;7275.0;7200.5;7283.0;7220.5;2468547011.5
140;2024-02-15;7205.0;7184.0;7295.0;7282.5;2857860764.5
141;2024-02-16;7294.0;7205.0;7300.0;7224.5;3691976534.5
142;2024-02-19;7233.0;7187.5;7240.5;7188.0;2893065603.5
143;2024-02-20;7188.0;7070.5;7192.5;7081.0;4925594727.5
144;2024-02-21;7080.0;6962.0;7115.0;6990.5;7418005622.0
145;2024-02-22;7000.5;6970.0;7040.0;7021.5;4711677618.5
146;2024-02-26;7150.5;7103.5;7178.5;7164.0;4376222449.5
147;2024-02-27;7159.5;7104.0;7163.0;7141.5;2441390737.0
148;2024-02-28;7155.0;7130.5;7276.0;7261.5;5306222030.5
149;2024-02-29;7263.0;7220.0;7402.0;7378.0;8352765169.0
150;2024-03-01;7387.0;7372.5;7464.0;7463.5;7209979106.5
151;2024-03-04;7477.5;7351.5;7534.0;7511.5;14280512562.5
152;2024-03-05;7515.0;7430.5;7544.5;7499.5;7798224374.5
153;2024-03-06;7499.5;7470.0;7561.5;7483.0;6449174077.0
154;2024-03-07;7488.0;7457.0;7517.0;7513.0;3193618714.5
155;2024-03-11;7537.0;7523.5;7592.5;7554.5;4904561692.5
156;2024-03-12;7539.0;7481.5;7575.5;7536.5;8368198283.5
157;2024-03-13;7538.0;7409.5;7554.5;7426.0;9177460026.5
158;2024-03-14;7426.0;7320.0;7434.5;7370.0;10237405866.0
159;2024-03-15;7365.5;7336.5;7404.0;7380.0;5805478409.5
160;2024-03-18;7390.5;7309.5;7397.5;7344.0;4429020792.0
161;2024-03-19;7349.0;7250.0;7349.0;7333.5;8488644049.5
